Distribution_Name,Distribution_Code,Description,Use_Cases,Parameter_1_Name,Parameter_1_Type,Parameter_1_Description,Parameter_2_Name,Parameter_2_Type,Parameter_2_Description,Parameter_3_Name,Parameter_3_Type,Parameter_3_Description,Parameter_4_Name,Parameter_4_Type,Parameter_4_Description,Min_Value_Support,Max_Value_Support,Example_JSON
Deterministic,deterministic,Single fixed value with no variation,Default/baseline values where no uncertainty exists,value,float,The fixed constant value,,,,,,,,,,-inf,+inf,"{""type"": ""deterministic"", ""value"": 5.0}"
Normal (Gaussian),normal,Continuous bell curve distribution,Lead times with symmetric variation around mean,mean,float,Center/average value (μ),stddev,float,Standard deviation (σ) - spread,,,,,,,,-inf,+inf,"{""type"": ""normal"", ""mean"": 7.0, ""stddev"": 1.5, ""min"": 3.0, ""max"": 12.0}"
Lognormal,lognormal,Right-skewed distribution (exponential of normal),Lead times/durations that cannot be negative and have long tail,mean,float,Mean of underlying normal (μ),stddev,float,Stddev of underlying normal (σ),,,,,,,0,+inf,"{""type"": ""lognormal"", ""mean"": 2.0, ""stddev"": 0.5, ""min"": 1.0, ""max"": 20.0}"
Uniform,uniform,Flat distribution - all values equally likely,Capacity with unknown but bounded variation,min,float,Minimum value (inclusive),max,float,Maximum value (inclusive),,,,,,,min,max,"{""type"": ""uniform"", ""min"": 5.0, ""max"": 15.0}"
Triangular,triangular,Three-point distribution with linear slopes,Expert estimates with most likely value,min,float,Minimum possible value,mode,float,Most likely value (peak),max,float,Maximum possible value,,,,,min,max,"{""type"": ""triangular"", ""min"": 5.0, ""mode"": 8.0, ""max"": 12.0}"
Exponential,exponential,Memoryless distribution - time until event,Time between failures/events (shelf life aging),rate,float,Rate parameter (λ) - inverse of mean,,,,,,,,,,,0,+inf,"{""type"": ""exponential"", ""rate"": 0.1, ""min"": 0.0, ""max"": 50.0}"
Gamma,gamma,Flexible right-skewed distribution,Processing times with minimum threshold,shape,float,Shape parameter (k) - controls skew,scale,float,Scale parameter (θ) - stretches distribution,,,,,,,0,+inf,"{""type"": ""gamma"", ""shape"": 2.5, ""scale"": 3.0, ""min"": 1.0, ""max"": 30.0}"
Weibull,weibull,Flexible distribution modeling time-to-failure,Equipment reliability/failure modeling,shape,float,Shape parameter (k) - <1 decreasing failure rate >1 increasing,scale,float,Scale parameter (λ) - characteristic life,,,,,,,0,+inf,"{""type"": ""weibull"", ""shape"": 1.5, ""scale"": 10.0, ""min"": 1.0, ""max"": 30.0}"
Beta,beta,Bounded distribution [0 1] with flexible shape,Yield percentages/quality rates (naturally bounded 0-100%),alpha,float,Alpha shape parameter (α) - controls left skew,beta,float,Beta shape parameter (β) - controls right skew,,,,,,,0,1,"{""type"": ""beta"", ""alpha"": 8.0, ""beta"": 2.0, ""min"": 0.7, ""max"": 1.0}"
Poisson,poisson,Discrete count distribution,Discrete demand counts per period (0 1 2 3...),lambda,float,Average rate (λ) - mean events per period,,,,,,,,,,,0,+inf (discrete),"{""type"": ""poisson"", ""lambda"": 4.5, ""min"": 0, ""max"": 20}"
Binomial,binomial,Discrete distribution of successes in n trials,Count of defective items in batch (k successes in n trials),n,integer,Number of trials,p,float,Probability of success per trial (0-1),,,,,,,0,n (discrete),"{""type"": ""binomial"", ""n"": 100, ""p"": 0.05, ""min"": 0, ""max"": 20}"
Negative Binomial,negative_binomial,Overdispersed Poisson (larger variance),Demand with more variation than Poisson can capture,r,float,Number of successes (dispersion parameter),p,float,Probability of success per trial,,,,,,,0,+inf (discrete),"{""type"": ""negative_binomial"", ""r"": 5, ""p"": 0.5, ""min"": 0, ""max"": 50}"
Empirical,empirical,User-defined discrete probability distribution,Historical data or expert judgment with specific scenarios,values,array[float],List of possible outcome values,probabilities,array[float],Probability of each value (must sum to 1.0),,,,,,,min(values),max(values),"{""type"": ""empirical"", ""values"": [3 5 7 10 14], ""probabilities"": [0.1 0.2 0.4 0.2 0.1]}"
Empirical Continuous,empirical_continuous,Histogram/piecewise linear from samples,Historical data samples used directly,samples,array[float],List of historical observed values,,,,,,,,,,,min(samples),max(samples),"{""type"": ""empirical_continuous"", ""samples"": [4.2 5.1 4.8 6.3 5.5 4.9]}"
Custom Piecewise,piecewise,User-defined piecewise linear CDF,Complex distributions not matching standard forms,breakpoints,array[float],X-axis values (sorted ascending),cumulative_probs,array[float],Cumulative probabilities at each breakpoint (0 to 1),,,,,,,min(breakpoints),max(breakpoints),"{""type"": ""piecewise"", ""breakpoints"": [0 5 10 15 20], ""cumulative_probs"": [0.0 0.2 0.6 0.9 1.0]}"
Mixture,mixture,Weighted combination of multiple distributions,Bimodal scenarios (e.g. normal ops vs disruption),distributions,array[object],List of component distributions (each with type and params),weights,array[float],Weight of each component (must sum to 1.0),,,,,,,union of components,union of components,"{""type"": ""mixture"", ""distributions"": [{""type"": ""normal"" ""mean"": 5 ""stddev"": 1} {""type"": ""normal"" ""mean"": 15 ""stddev"": 2}], ""weights"": [0.8 0.2]}"
Truncated Normal,truncated_normal,Normal distribution with hard bounds,Normally distributed but with physical constraints,mean,float,Mean of underlying normal (μ),stddev,float,Standard deviation of underlying normal (σ),min,float,Minimum value (hard cutoff),max,float,Maximum value (hard cutoff),min,max,"{""type"": ""truncated_normal"", ""mean"": 10.0, ""stddev"": 3.0, ""min"": 5.0, ""max"": 15.0}"
Truncated Lognormal,truncated_lognormal,Lognormal distribution with hard bounds,Right-skewed with enforced limits,mean,float,Mean of underlying normal (μ),stddev,float,Stddev of underlying normal (σ),min,float,Minimum value (hard cutoff),max,float,Maximum value (hard cutoff),min,max,"{""type"": ""truncated_lognormal"", ""mean"": 2.0, ""stddev"": 0.5, ""min"": 2.0, ""max"": 20.0}"
Discrete Uniform,discrete_uniform,Discrete uniform - integer values equally likely,Random integer selection with no preference,min,integer,Minimum integer value (inclusive),max,integer,Maximum integer value (inclusive),,,,,,,min,max (discrete),"{""type"": ""discrete_uniform"", ""min"": 1, ""max"": 10}"
Categorical,categorical,Named categories with probabilities,Failure modes supplier selection discrete scenarios,categories,array[string],List of category names,probabilities,array[float],Probability of each category (must sum to 1.0),,,,,,,N/A (categorical),N/A (categorical),"{""type"": ""categorical"", ""categories"": [""on_time"" ""delayed"" ""cancelled""], ""probabilities"": [0.85 0.12 0.03]}"
